Date,Country Code,Population
1/1/2010,ARE,8441537
1/1/2011,ARE,8925096
1/1/2012,ARE,9205651
1/1/2000,ARG,36903067
1/1/2001,ARG,37273361
1/1/2002,ARG,37627545
1/1/2003,ARG,37970411
1/1/2004,ARG,38308779
1/1/2005,ARG,38647854
1/1/2006,ARG,38988923
1/1/2007,ARG,39331357
1/1/2008,ARG,39676083
1/1/2009,ARG,40023641
1/1/2010,ARG,40374224
1/1/2011,ARG,40728738
1/1/2012,ARG,41086927
1/1/2000,ARM,3076098
1/1/2001,ARM,3059960
1/1/2002,ARM,3047002
1/1/2003,ARM,3036032
1/1/2004,ARM,3025652
1/1/2005,ARM,3014917
1/1/2006,ARM,3002911
1/1/2007,ARM,2989882
1/1/2008,ARM,2977488
1/1/2009,ARM,2968154
1/1/2010,ARM,2963496
1/1/2011,ARM,2964120
1/1/2012,ARM,2969081
1/1/2000,ASM,57522
1/1/2001,ASM,58176
1/1/2002,ASM,58729
1/1/2003,ASM,59117
1/1/2004,ASM,59262
1/1/2005,ASM,59117
1/1/2006,ASM,58652
1/1/2007,ASM,57919
1/1/2008,ASM,57053
1/1/2009,ASM,56245
1/1/2010,ASM,55636
1/1/2011,ASM,55274
1/1/2012,ASM,55128
1/1/2000,ATG,77648
1/1/2001,ATG,78972
1/1/2002,ATG,80030
1/1/2003,ATG,80904
1/1/2004,ATG,81718
1/1/2005,ATG,82565
1/1/2006,ATG,83467
1/1/2007,ATG,84397
1/1/2008,ATG,85349
1/1/2009,ATG,86300
1/1/2010,ATG,87233
1/1/2011,ATG,88152
1/1/2012,ATG,89069
1/1/2000,AUS,19153000
1/1/2001,AUS,19413000
1/1/2002,AUS,19651400
1/1/2003,AUS,19895400
1/1/2004,AUS,20127400
1/1/2005,AUS,20394800
1/1/2006,AUS,20697900
1/1/2007,AUS,21015900
1/1/2008,AUS,21384400
1/1/2009,AUS,21778800
1/1/2010,AUS,22065300
1/1/2011,AUS,22323900
1/1/2012,AUS,22683600
1/1/2000,AUT,8011566
1/1/2001,AUT,8042293
1/1/2002,AUT,8081957
1/1/2003,AUT,8121423
1/1/2004,AUT,8171966
1/1/2005,AUT,8227829
1/1/2006,AUT,8268641
1/1/2007,AUT,8300788
1/1/2008,AUT,8336926
1/1/2009,AUT,8365275
1/1/2010,AUT,8389771
1/1/2011,AUT,8423635
1/1/2012,AUT,8462446
1/1/2000,AZE,8048600
1/1/2001,AZE,8111200
1/1/2002,AZE,8171950
1/1/2003,AZE,8234100
1/1/2004,AZE,8306500
1/1/2005,AZE,8391850
1/1/2006,AZE,8484550
1/1/2007,AZE,8581300
1/1/2008,AZE,8763400
1/1/2009,AZE,8947243
1/1/2010,AZE,9054332
1/1/2011,AZE,9173082
